Sample,Site,Depth,Surface_temp,Soil_temp,Light,Air_temp,Grain_size,Water_content,FC_count,CFU_count,pH,Ca,Cl,K,Na,NH4,Mg,EC,Glacier_dist,flux_CH4,flux_CO2
0AL,0,Lower,2.3,0.2,1422,11.5,0.1,20.74751919,122840,1000,7.28,0.003407407,0.002617284,0.004246914,0.013185185,0.000395062,0.002320988,0.134,0,,
0AT,0,Top,2.3,0.2,1422,11.5,0.1,8.882996884,223110,6200,7.28,0.007359523,0.00924913,0.009149677,0.018846345,0.001392342,0.001491795,0.201,0,,
0BT,0,Top,11.3,0.4,1894,11.5,NA,18.48437519,592740,0,7.22,0.017189836,0.021175884,0.00568012,0.016442451,0.000747384,0.004833084,0.268,0,,
0BL,0,Lower,11.3,0.4,1894,11.5,0.1,21.4815657,236060,37400,7.22,0.012506106,0.001905227,0.004836346,0.012945774,0.000537372,0.002638007,0.201,0,,
0CL,0,Lower,17.5,1.6,1666,11.5,0.1,24.0696684,76553,2200,7.22,0.008173996,0.001290631,0.003728489,0.014483748,0.00043021,0.00124283,0.201,0,,
0CT,0,Top,17.5,1.6,1666,11.5,0.1,18.56594434,364080,8200,7.22,0.008059846,0.001592664,0.003909266,0.010762548,0.000434363,0.001061776,0.134,0,,
0DT,0,Top,NA,NA,NA,11.5,NA,32.47560193,583860,19000,4.94,0.036642336,0.000875912,0.002043796,0.017615572,0.000291971,0,0.335,0,,
0ET,0,Top,NA,NA,NA,11.5,NA,38.99505175,66452,28600,4.84,0.001685393,0.000919305,0.001532176,0.018335036,0.000255363,0.00061287,0.134,0,,
0FT,0,Top,NA,NA,NA,11.5,NA,35.37019464,103452,13000,4.66,0.003276284,0.001320293,0.002836186,0.030513447,0.000342298,0.002298289,0.268,0,,
1AL,1,Lower,15.5,11.6,1320,14.4,0.1,28.33039266,856550,32000,5.67,0.005616225,0.00124805,0.004316173,0.015600624,0.000468019,0.002600104,0.201,2.23,0.054100259,0.051145267
1AT,1,Top,15.5,11.6,1320,14.4,0.1,26.26347565,331520,120000,5.6,0.009403905,0.001284687,0.005087359,0.017471737,0.00061665,0.003288798,0.201,2.23,0.054100259,0.051145267
