#OTU ID,barcode18.CONCOMPRA,unclassified.CONCOMPRA,barcode30.CONCOMPRA,barcode76.CONCOMPRA,barcode77.CONCOMPRA,barcode31.CONCOMPRA,barcode21.CONCOMPRA,barcode85.CONCOMPRA,barcode08.CONCOMPRA,barcode63.CONCOMPRA,barcode33.CONCOMPRA,barcode38.CONCOMPRA,barcode62.CONCOMPRA,barcode56.CONCOMPRA,barcode57.CONCOMPRA,barcode82.CONCOMPRA,barcode83.CONCOMPRA,barcode15.CONCOMPRA,barcode09.CONCOMPRA,barcode58.CONCOMPRA,barcode49.CONCOMPRA,barcode71.CONCOMPRA,barcode50.CONCOMPRA,barcode10.CONCOMPRA,barcode22.CONCOMPRA,barcode73.CONCOMPRA,barcode84.CONCOMPRA,barcode78.CONCOMPRA,barcode19.CONCOMPRA,barcode91.CONCOMPRA,barcode48.CONCOMPRA,barcode45.CONCOMPRA,barcode12.CONCOMPRA,barcode02.CONCOMPRA,barcode92.CONCOMPRA,barcode81.CONCOMPRA,barcode53.CONCOMPRA,barcode59.CONCOMPRA,barcode61.CONCOMPRA,barcode04.CONCOMPRA,barcode51.CONCOMPRA,barcode52.CONCOMPRA,barcode75.CONCOMPRA,barcode66.CONCOMPRA,barcode93.CONCOMPRA,barcode44.CONCOMPRA,barcode13.CONCOMPRA,barcode74.CONCOMPRA,barcode37.CONCOMPRA,barcode29.CONCOMPRA,barcode34.CONCOMPRA,barcode16.CONCOMPRA,barcode36.CONCOMPRA,barcode11.CONCOMPRA,barcode05.CONCOMPRA,barcode69.CONCOMPRA,barcode35.CONCOMPRA,barcode60.CONCOMPRA,barcode24.CONCOMPRA,barcode27.CONCOMPRA,barcode06.CONCOMPRA,barcode41.CONCOMPRA,barcode20.CONCOMPRA,barcode43.CONCOMPRA,barcode03.CONCOMPRA,barcode87.CONCOMPRA,barcode14.CONCOMPRA,barcode65.CONCOMPRA,barcode42.CONCOMPRA,barcode28.CONCOMPRA,barcode01.CONCOMPRA,barcode96.CONCOMPRA,barcode25.CONCOMPRA,barcode17.CONCOMPRA,barcode68.CONCOMPRA,barcode26.CONCOMPRA,barcode67.CONCOMPRA,barcode94.CONCOMPRA
barcode0112,17,43,0,13,0,0,1,0,0,0,0,0,0,0,22,4,0,0,161,0,1,0,14,3,1,98,0,0,2,0,0,0,0,0,0,0,0,40,0,0,48,0,0,47,0,2,10,1,3,0,0,0,1,1,5,7,6,0,0,5,0,0,0,0,9,0,1,56,0,0,732,0,0,0,0,0,0,0
barcode0932,5,12,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,182,0,0,0,0,36,0,60,0,0,0,0,0,0,0,46,0,0,1,84,0,0,7,0,8,0,0,0,4,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
barcode0348,1,704,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,3,0,0,1,1,0,2,4,0,2,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,22285,0,1,0,0,2,1,0,0,0,0,0,0,0
barcode7378,596,68,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,1198,0,0,0,0,0,1,0,249,0,0,0,7,3,0,0,1,4,0,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0
barcode0485,13,72,0,5,0,0,1,0,0,0,1,0,0,0,0,0,14,0,22,0,0,0,0,36,0,299,0,0,0,0,0,15,0,136,0,0,40,16,1,1254,20,1,41,0,0,0,17,0,17,1,0,0,0,0,128,0,174,0,0,16,0,0,1,1,0,0,0,0,0,3,37,0,0,0,0,0,0,0
barcode6946,1,28,0,5,5,0,28,101,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,9,2,0,0,3,0,0,0,0,0,0,0,1,7,1,1,4,0,0,0,0,0,0,0,1,47,1,0,16,0,0,399,4,0,0,3,31,0,0,0,0,0,7,4,0,0,1,0,0,1,1,0,2,0
barcode0469,9,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1,0,852,0,0,13,3,0,2,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcode4111,1,38,0,0,0,0,3,2,0,0,28,0,0,0,0,0,0,0,11,1,0,0,1,3,2,6,0,0,2,0,0,14,0,0,0,0,0,3,16,0,5,4,1,0,0,0,4,2,4,0,0,0,13,0,0,1,127,5,0,39,1,427,0,0,1,0,0,12,0,1,15,0,0,0,6,3,0,0
barcode5718,1,166,3,4,1,0,1,2,0,0,1,2,0,0,820,0,2,0,7,1,79,0,0,0,0,0,2,0,129,0,0,1,0,1,0,0,1,0,0,2,1,2,3,0,0,2,1,1,3,1,1,0,0,25,1,1,1,10,0,2,2,0,0,0,30,0,1,8,1,1,3,0,0,0,19,0,0,0
barcode0231,24,108,0,122,0,0,5,1,0,0,0,1,0,0,160,76,1,0,0,0,8,0,347,17,1,807,1,0,8,0,0,0,0,260,0,0,160,13,0,186,16,0,52,107,0,36,15,3,54,1,3,0,2,4,437,0,47,107,0,1,1,7,15,0,46,0,0,107,2,6,2,0,0,0,2,12,0,0
