#SampleID	Barcode
0A_T	barcode01
1B_T	barcode02
1G_L	barcode03
3B_T	barcode04
4C_T	barcode05
5E_L	barcode06
0A_L	barcode09
1B_L	barcode10
1H_T	barcode11
3B_L	barcode12
4C_L	barcode13
5F_T	barcode14
0B_T	barcode17
1C_T	barcode18
1H_L	barcode19
3C_T	barcode20
5A_T	barcode21
5F_L	barcode22
0B_L	barcode25
1C_L	barcode26
2A_T	barcode27
3C_L	barcode28
5A_L	barcode29
pcr_water_control	barcode30
0C_T	barcode33
1D_T	barcode34
2A_L	barcode35
3D_L	barcode36
5B_T	barcode37
extraction_control	barcode38
0C_L	barcode41
1D_L	barcode42
2B_T	barcode43
3E_T	barcode44
5B_L	barcode45
0D_T	barcode49
1E_T	barcode50
2B_L	barcode51
3E_L	barcode52
5C_T	barcode53
0E_T	barcode57
1E_L	barcode58
2C_T	barcode59
4A_T	barcode60
5C_L	barcode61
0F_T	barcode65
1F_T	barcode66
2C_L	barcode67
4A_L	barcode68
5D_T	barcode69
1A_T	barcode73
1F_L	barcode74
3A_T	barcode75
4B_T	barcode76
5D_L	barcode77
1A_L	barcode81
1G_T	barcode82
3A_L	barcode83
4B_L	barcode84
5E_T	barcode85
